date/time,settlement id ,type ,order id,Sku,description ,quantity,marketplace ,fulfillment,order city ,order state ,order postal ,product sales ,shipping credits ,promotional rebates ,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,selling fees ,fba fees ,other transaction fees ,other ,total 
01-May-2018 4:52:48 AM GMT+00:00,10189090122,"Order
",407-0074715-9476306,AMANEEM-1,LOOFAH (PACK OF 10 PCS)100%NATURAL RIDGE GOURD ORGANIC FIBER,1,amazon.in,"Amazon
",MUMBAI,MAHARASHTRA,400076,321.19,10.59,-10.59,57.81,0,0,0,-13.42,-76.7,-17.7,0,271.18
01-May-2018 7:06:14 AM GMT+00:00,10189090122,"Shipping Services
",408-7080209-6199543,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
01-May-2018 7:06:17 AM GMT+00:00,10189090122,"Shipping Services
",408-4518704-7836358,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-53.1,0,-53.1
01-May-2018 7:06:57 AM GMT+00:00,10189090122,"Order
",408-7080209-6199543,DISPMEN,PACK OF 10 PCS GOOD QUALITY MEN UNDERWEAR BRIEF USE AND THROUGH)DISPOSABLE,1,amazon.in,Merchant,Sawantwadi,MAHARASHTRA,416510,338.14,55.08,0,70.78,0,0,0,-71.18,0,-5.9,0,386.92
01-May-2018 7:07:28 AM GMT+00:00,10189090122,"Order
",408-4518704-7836358,MEN DISPO,PACK OF 10 PCS GOOD QUALITY MEN UNDERWEAR BRIEF USE AND THROUGH)DISPOSABLE,1,amazon.in,Merchant,New Delhi,DELHI,110019,321.19,55.08,0,67.73,0,0,0,-68.11,0,-5.9,0,369.99
01-May-2018 8:18:50 AM GMT+00:00,10189090122,"Order
",405-4976522-8458717,DISPO51,"PACK OF 10 PCS GOOD QUALITY USE AND THROW DISPOSABLE PANTY PACK OF 10 PCS IN WHITE COLOR FREE SIZE IDEAL FOR TRAVELLING,CAMPING,FITNESS,OLD AGE,HOSPIT",1,amazon.in,"Amazon
",Mumbai,MAHARASHTRA,400098,397.46,42.37,0,79.17,0,0,0,-71.94,-119.07,-17.7,0,310.29
02-May-2018 4:50:04 AM GMT+00:00,10189090122,"Order
",404-8043879-0695550,WOOD,"PACK OF 2 GOOD QUALITY Wood Back Scratcher Massager 18"" Long Self-Massage Back Scratcher With Double ball Rolling massage",1,amazon.in,"Amazon
",Zirakpur,PUNJAB,140603,329.66,42.37,0,66.97,0,0,0,-32.13,-97.83,-23.6,0,285.44
02-May-2018 5:09:51 AM GMT+00:00,10189090122,"Shipping Services
",403-8135550-8493958,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-53.1,0,-53.1
02-May-2018 5:12:42 AM GMT+00:00,10189090122,"Shipping Services
",405-8768206-2887512,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
02-May-2018 5:13:40 AM GMT+00:00,10189090122,"Order
",405-8768206-2887512,DISPOC,"DISPOSABLE NON WOVEN PACK OF 10 PCS GOOD QUALITY USE AND THROW DISPOSABLE PANTY PACK OF 10 PCS IN WHITE COLOR FREE SIZE IDEAL FOR TRAVELLING,CAMPING,F",1,amazon.in,Merchant,PUNE,MAHARASHTRA,411021,328.81,55.08,0,69.11,0,0,0,-69.49,0,-5.9,0,377.61
02-May-2018 5:21:48 AM GMT+00:00,10189090122,"Order
",403-8135550-8493958,LOOFA5,LOOFA (5 PCS)100% NATURAL RIDGE GOURD FIBER LOOFAH PACK OF 5 PCS,1,amazon.in,Merchant,new delhi,DELHI,110064,252.54,55.08,0,55.38,0,0,0,-12.85,0,-5.9,0,344.25
02-May-2018 5:55:03 AM GMT+00:00,10189090122,"Order
",402-2334293-6449130,DISPO51,"PACK OF 10 PCS GOOD QUALITY USE AND THROW DISPOSABLE PANTY PACK OF 10 PCS IN WHITE COLOR FREE SIZE IDEAL FOR TRAVELLING,CAMPING,FITNESS,OLD AGE,HOSPIT",1,amazon.in,"Amazon
",THANE,MAHARASHTRA,400607,397.46,42.37,0,79.17,0,0,0,-71.94,-119.07,-17.7,0,310.29
02-May-2018 7:12:31 AM GMT+00:00,10189090122,"Refund
",404-3857080-9752306,LUFA,LOOFA PACK OF 10 PCS 100% NATURAL RIDGE GOURD FIBER LOOFAH,1,amazon.in,Merchant,BENGALURU,KARNATAKA,560090,-304.24,-55.08,0,-64.68,0,0,0,30.02,0,11.8,0,-382.18
02-May-2018 11:21:42 AM GMT+00:00,10189090122,"Adjustment
",,,Non-subscription Fee Adjustment,,,,,,,0,0,0,0,0,0,0,0,0,0,76.7,76.7
02-May-2018 12:44:28 PM GMT+00:00,10189090122,"Order
",171-1570571-9745140,HEAD,"SET OF 2 PCS Head Scalp Massager New Arrival Best Selling Premium Quality Lowest Price Hand Held, Relieves Stress, Removes Muscle Tension & Tiredness,",1,amazon.in,"Amazon
",jalandhar,punjab,144004,253.39,42.37,0,53.24,0,0,0,-38.81,-91.93,-17.7,0,200.56
02-May-2018 2:23:40 PM GMT+00:00,10189090122,"Order
",408-7101319-2258757,DISPO51,"PACK OF 10 PCS GOOD QUALITY USE AND THROW DISPOSABLE PANTY PACK OF 10 PCS IN WHITE COLOR FREE SIZE IDEAL FOR TRAVELLING,CAMPING,FITNESS,OLD AGE,HOSPIT",1,amazon.in,"Amazon
",JAIPUR,RAJASTHAN,302015,397.46,0,0,71.54,0,0,0,-71.94,-49.56,-17.7,0,329.8
